Translated_Tweet,Suicide
   ,Not Suicide post
                                                      ,Potential Suicide post 
                    ,Potential Suicide post 
صباح الخير صباح الخير يا مويورنغ,Not Suicide post
                        ,Not Suicide post
 أحدث لحنتي  اترك تعليقًا من فضلك,Not Suicide post
            ,Not Suicide post
              ,Potential Suicide post 
                   ,Not Suicide post
                       ,Not Suicide post
                                             ,Potential Suicide post 
                       ,Not Suicide post
     ,Not Suicide post
          ,Not Suicide post
                 ,Not Suicide post
          ,Not Suicide post
                           ,Not Suicide post
                      ,Not Suicide post
أنا وأكره نفسي كثيرًا ، لدي أصدقاء صغار جدًا لم يسبق له مثيل لم يسبق له مثيل ، ولم يتم تخويف صديقته كثيرًا ورفضت كثيرًا ، الرجاء مساعدتي أريد أن أقتل نفسي ، وسيجعل كل هذا لا يستحق أن أكون على هذه الأرض منذ ذلك الحين منذ ذلك الحينأكتب ملاحظات على الورق عن مدى عدم قيمة وغبي ، أريد أن أصبح شخصًا في مجال تكنولوجيا المعلومات ، لكنني غبي جدًا بحيث لا يمكنني الوصول إلى هناك على أي حال والوظائف في الوقت الحاضر بحاجة إلى أشخاص اجتماعيين ولست أحدهم لم يكن لدي صديقة من قبلوأريد أن أحصل على واحدة لأن كونك عذراء أمر سيء ولا يمكنني أبدًا التعايش مع هذا الشعور إذا لم يكن لدي أي أصدقاء أو صديقة عندما أكون بالغًا ، أخطط للانتحار ، هل يمكنك مساعدتي في القراءة,Potential Suicide post 
                               ,Potential Suicide post 
                          ,Potential Suicide post 
           ,Potential Suicide post 
                      ,Potential Suicide post 
      ,Not Suicide post
    ,Not Suicide post
لم يكن لي منذ فترة طويلة هذا الشهر الماضي كان أسوأ أسابيع ، لقد ذهبت في موعد مع رجل وذهبت إلى مكانه بعد ذلك وحاول إجبارني على الذهاب أبعد مما كنت أرغب في أن أخشى حتى التسكع مع أرجل منذ اليوم التالي ، تم طردني من وظيفتي ، قضيت كل أسبوعًا بقية هذا الأسبوع وحده في ملء تطبيق الوظائف الذي لم يساعد في اكتئابي في الأسبوع التالي ، بدأت في الحصول على بعض المشكلات للاختبار ووجدت أنني قد حصلت على السيلان منالرجل الذي حاول أن أجبرني على العشاء في منزل أصدقاء وانتهى به الأمر إلى سحب سيارتي ، لذا فأنا مدين لأمي لأنني حاولت الانتحار تقريبًا في ذلك اليوم الأسبوع الماضي وبدأت العمل الأسبوع الماضي ، لكنني سأحصل فقط على راتب جزئينظرًا لوجود عندما بدأت وأنا في الوقت الحالي لحسابي المصرفي وخلفها على فواتيري ، لذلك لا أعرف كم من هذا الشيك سيساعدني لا أملك أي معركة في داخلي بعد الآن,Potential Suicide post 
  ,Not Suicide post
سيكون غدًا رائعًا إذا تأكلت من قبل ديناصور أنا ألوم صوفي,Not Suicide post
أنا مريض وتعب من الناس الذين يضعون الكثير من الطاقة في السفن لكنهم لن يفعلوا نفس الشيء لمساعدة ,Potential Suicide post 
   ,Not Suicide post
                    ,Potential Suicide post 
                     ,Not Suicide post
       ,Not Suicide post
                                                       ,Potential Suicide post 
    أو الجديد من تأليف جيمس باترسون,Not Suicide post
     ,Not Suicide post
                  ,Not Suicide post
                       ,Not Suicide post
             ,Not Suicide post
           ,Potential Suicide post 
         ,Potential Suicide post 
                       ,Potential Suicide post 
       ,Potential Suicide post 
                                                          ,Potential Suicide post 
                                                                                                                                                                                                                      ,Potential Suicide post 
              ,Not Suicide post
                       ,Potential Suicide post 
          ,Potential Suicide post 
أماندا باتون هاها حسنًا ، إنها ليست دولة دائمة بالنسبة لي في وضع عدم الاتصال,Not Suicide post
                   ,Not Suicide post
                        ,Potential Suicide post 
هذه الأفكار حول قتل نفسي لها صوتًا أعلى,Potential Suicide post 
                        ,Potential Suicide post 
      بصراحة الألم الذي لا أريد أن أكون هنا بعد الآن,Potential Suicide post 
  أريد أن أموت أنا لا أستحق قطعة من أي شيء لا أنتمي إليه في أي مكان ، لقد سئمت من كل شيء من نفس الفتنة,Potential Suicide post 
                     ,Potential Suicide post 
                             ,Not Suicide post
                  ,Not Suicide post
            ,Not Suicide post
  ,Not Suicide post
من فضلك شخص ما يأتي سخيف قتلني أنا في الحب ,Potential Suicide post 
      ,Potential Suicide post 
                             ,Potential Suicide post 
                        ,Potential Suicide post 
       ,Not Suicide post
  ,Not Suicide post
 هنا صباح الخير,Not Suicide post
                                                     ,Potential Suicide post 
                         ,Potential Suicide post 
  ,Not Suicide post
                   ,Not Suicide post
        ,Not Suicide post
                   ,Not Suicide post
                    ,Not Suicide post
   ,Not Suicide post
 أنا بالفعل أستمع إلى شوبان في الظلام الآن,Not Suicide post
                        ,Potential Suicide post 
     لم أكن أعرف الكثير عنك ولكنك ساعدت في الأوقات الصعبة التي لم تستحقها في الموت في مثل هذه ,Potential Suicide post 
                                                                ,Potential Suicide post 
آسف أشخاص ليسوا سامين ويريدون أن نكون أصدقاء,Potential Suicide post 
      و  ينضم إلى داني ربما   لا يأمل ألا,Not Suicide post
                  ,Potential Suicide post 
                                              ,Potential Suicide post 
  ,Not Suicide post
  إذا كان الناس لا يريدونك ميتا ، فهل يمكنك حتى أن تكون على قيد الحياة حقًا,Potential Suicide post 
       ,Not Suicide post
             ,Potential Suicide post 
                       ,Not Suicide post
الثلاثاء في مدينة هانوفر العظيمة ما يمكن أن يكون أفضل,Not Suicide post
  ,Not Suicide post
  أنا أعلم أنك تعتقد أنك حزين لأن رعاة البقر لا يلعبون اليوم ولكن في أي يوم لا يمكن أن يخسره فريقك مناسبة تستحق الاحتفال,Not Suicide post
                  ,Not Suicide post
     ,Not Suicide post
                 ,Not Suicide post
          ,Not Suicide post
                      ,Potential Suicide post 
                                                                                                                                                                          ,Potential Suicide post 
          ,Not Suicide post
                   ,Potential Suicide post 
          ,Not Suicide post
    ,Potential Suicide post 
الآن يجب أن أذهب إلى البنك غدًا وأرى ما يجري اللعنة ، واجهت مشاكل منذ حوالي أسابيع مع  ,Potential Suicide post 
                 ,Not Suicide post
 بما فيه الكفاية من قابس الكتاب المخزي,Not Suicide post
,Potential Suicide post 
                             ,Potential Suicide post 
         ,Potential Suicide post 
             ,Not Suicide post
             ,Not Suicide post
تقريبا العطل من جهة أخرى تخيم د د د,Not Suicide post
       ,Potential Suicide post 
القلق الصحي الذي يدفع بعض الأفكار السيئة في رأسي ، كنت أعاني منذ شهور الآن مع بعض المشكلات الصحية كرجل يبلغ من العمر عامًا ، طبيعتي المتشائمة فقط تجعلني أفكر في أسوأ يدي وقدمي في حاليًا ويحترقإن كرسي متحرك هو عبء على صديقتي العائلية ، وهكذا يتبادر إلى ذهني على الأفكار الانتحارية ، حيث أفضل وضع نهاية مفاجئة لكل شيء بدلاً من تدهور نفسي يومًا بعد يوم فقدان المحرك والوظائف المعرفية أمر صعب بالفعل كما هي والآن بلدي والآنالصحة تفشل لأول مرة,Potential Suicide post 
 ,Potential Suicide post 
               ,Not Suicide post
  تريد أن تكون هنا بعد الآن,Potential Suicide post 
 هل رأيت هذا الرابط لي يعتقد أنك قد ترغب في ذلك ,Not Suicide post
كان هناك شاب سئم من الإقامة في هذا العالم الذي أطلقوا عليه هذا العالم الحي ، لكنه لا يخطر,Potential Suicide post 
مريض أكره نفسي وأريد أن أموت,Potential Suicide post 
  لقد رأيت أن  يوم ممتع من الاستكشاف والتجريب,Not Suicide post
    هي انشقاق,Not Suicide post
      ,Potential Suicide post 
  منذ أن تحدثوا أبت له يا آه ، تذكر عندما قال ياندرديف أن المعاقين فكريًا يستحقون أن يموتوا بلعبوا رابيل,Potential Suicide post 
                          ,Potential Suicide post 
             ,Potential Suicide post 
تناول وافل  مع كريم الآيس كريم وصلصة الشوكولاتة يا إلهي مذهلة,Not Suicide post
                         ,Potential Suicide post 
   ,Not Suicide post
                         ,Potential Suicide post 
   ,Not Suicide post
               ,Potential Suicide post 
                ,Not Suicide post
  ليس محاميًا ، لكن تم تشخيص إصابتي بالاكتئاب عندما كنت أخي أقسم لأعلى ولأسفل,Potential Suicide post 
الانفجار من أسوأ فريق في الدوري بينما يرتدونهم هو ما سيكون عليه في مذكرة الانتحار ,Potential Suicide post 
      ,Potential Suicide post 
                                                                                                                                                            ,Potential Suicide post 
                     ,Potential Suicide post 
        ,Not Suicide post
        ,Potential Suicide post 
                          ,Not Suicide post
                                           ,Potential Suicide post 
 بعد الظهر لك أيضًا,Not Suicide post
اليوم كدت أن أقتل نفسي لأنني كدت أن أصطدم بسيارة,Not Suicide post
                ,Not Suicide post
,Not Suicide post
    ,Not Suicide post
    ,Not Suicide post
  هو الصحيح شكرا لك,Not Suicide post
كم عدد الأشخاص الذين يريد أن يطفو عليه حقًا,Not Suicide post
     ,Not Suicide post
 لماذا نعم هي أوزة الموهوبة بشكل استثنائي الذي يناسبك و  حسنا لن تفهم فقط,Not Suicide post
  ,Not Suicide post
                    ,Potential Suicide post 
 ,Not Suicide post
            ,Potential Suicide post 
 أنا الآن من قبل أم وووو,Not Suicide post
                    ,Potential Suicide post 
                            ,Potential Suicide post 
                                                  ,Potential Suicide post 
                   ,Potential Suicide post 
وقت النوم,Not Suicide post
إذا كان أي منكم يعاني من عيد فصح ممل ، فأرسل لي ملاحظة على  ، فأنا أحب الدردشة مع الناس يا رجل نينا ألبرتسن ,Not Suicide post
أنت تعلم أنه ليس لديك أي قوة على الإطلاق بعد ، وعندما تفعل كل هذا ، سوف يكون الأمر ميتًا ونسيان ,Potential Suicide post 
                      ,Potential Suicide post 
                      ,Potential Suicide post 
ليس من المحزن أنه بعد رؤية شبكة إطفاء أمام مبنى كان تفكيري الأول هو البحث في حالة وجود شخص ما,Potential Suicide post 
   ,Not Suicide post
     ,Not Suicide post
                                                                                                                                       ,Potential Suicide post 
        ,Not Suicide post
   ,Potential Suicide post 
إن العيش كتعاطف متشددين صعب للغاية ، لقد سئمت من أن أكون لطيفًا ووضع العمل العاطفي في أولئك الذين لا يستحقون ذلك,Potential Suicide post 
           ,Not Suicide post
                                                     ,Potential Suicide post 
أرجوك سامحني ، حاولت الحصول على المساعدة ، لا أعرف ماذا أقول إنني سئمت من أن أكون عبئًا على أي شخص آخر ، لقد سئمت من كل شخص شطبني ، لا أستطيع مساعدة من أنا وحاولت الحصول على المساعدة لدي خطةوفي غضون أسابيع قليلة لن أكون جزءًا من هذا العالم,Potential Suicide post 
                                                                   ,Potential Suicide post 
                                                                             ,Potential Suicide post 
        ,Not Suicide post
 ,Not Suicide post
أعمل مع الكثير من الروس في مكتب  ويبدوون بائسين تمامًا كلما أراهم ,Potential Suicide post 
مرحبا العالم تيس أول تغريدة لي,Not Suicide post
  ,Not Suicide post
    ,Not Suicide post
                     ,Potential Suicide post 
هل حقق أي شخص قصص نجاح رائعة على  إذا كان الأمر كذلك ، فأنا أحب أن أسمع قصتك  ,Not Suicide post
رائع ، أعتقد أنك تشعر بالغيرة جميعًا ، لكنني نوعًا ما لا أريد الذهاب إلى الرقص الليلة شخص آخر يقودني,Not Suicide post
             ,Not Suicide post
           ,Not Suicide post
أعلم أنه لا يمكنني الحصول على كل الأشياء التي أريدها في الحياة ، لكن متى تشعر وكأنها على الأقل إصلاح فمي لأقول ,Potential Suicide post 
سيلديفيل لعنة اليمين كيندا أكره نفسي لعدم امتلاكه للنظام لوضعه على أن تكون فقيرًا تمتص,Potential Suicide post 
          ,Not Suicide post
            ,Not Suicide post
عندما كنت في المدرسة المتوسطة ، أردت أن أكون  لا تحكم,Potential Suicide post 
 ,Not Suicide post
                        ,Potential Suicide post 
                                                                                                                  ,Potential Suicide post 
                ,Not Suicide post
شكرًا   على خدمة سريعة جدًا في تركيب لوحات الأرقام الجديدة اللامعة,Not Suicide post
أشعر أنني لا أحد يهتم فقط أريد فقط أن أموت ، ربما أشعر بالوحدة أقل,Potential Suicide post 
منذ عام واحد ، فقدت جارًا وصديقًا للانتحار ، لذا هنا اقتباس جعلني أسوأ  ,Potential Suicide post 
 يسيطر على     ,Not Suicide post
               ,Not Suicide post
                    ,Not Suicide post
                      ,Not Suicide post
تحية جيسون ستاثام جيسون حتى الآن على تويتر اليوم الرائع اليوم ، شكرًا لك على لحظة لنا أن نستمتع بعناق السباحة الخاص بك,Not Suicide post
            ,Potential Suicide post 
ميكيواي يعجبه,Not Suicide post
    ,Potential Suicide post 
     ,Not Suicide post
                   ,Not Suicide post
             ,Not Suicide post
          ,Potential Suicide post 
                      ,Potential Suicide post 
                       ,Potential Suicide post 
تعبت من العيش مع هذه  فقط شهور للذهاب,Potential Suicide post 
 قتلني حرفيًا فقط,Potential Suicide post 
   ,Not Suicide post
                     ,Not Suicide post
أبريل  لماذا لا تحديث   لها يوم مبارك,Not Suicide post
                                            ,Potential Suicide post 
                         ,Not Suicide post
                         ,Not Suicide post
         ,Not Suicide post
          ,Potential Suicide post 
       ,Potential Suicide post 
               ,Not Suicide post
      ,Not Suicide post
   أي نصائح أو أفكار,Not Suicide post
اريد ان اكون مهندس,Not Suicide post
             ,Not Suicide post
                                                                                                                                                   ,Potential Suicide post 
                      ,Potential Suicide post 
                   ,Potential Suicide post 
كان ووكيم والإجماع,Not Suicide post
 ماذا تقول عن نفسك,Not Suicide post
                          ,Potential Suicide post 
  عندما تحاول الخروج من أجل  وتسمع  تعال,Not Suicide post
حاولت   في     أن تملق ترامب بتهنئة الحزب الجمهوري على انتصارات الحزب الجمهوري في منتصف المدة التي استجاب لها من خلال ترقيت ثو,Not Suicide post
إنه لا يريد الاستسلام لكنه يخشى حتى لمس المعدات أقل بكثير من حزمها,Not Suicide post
                  ,Not Suicide post
أشعر بالحزن اللانهائي في روحي وأشعر بالوحدة الفارغة الشديدة للغاية بخيبة أمل كبيرة للغاية,Potential Suicide post 
         ,Not Suicide post
  ,Not Suicide post
                         ,Potential Suicide post 
     ,Not Suicide post
,Not Suicide post
 ,Not Suicide post
          ,Not Suicide post
          ,Not Suicide post
    ,Not Suicide post
لماذا لا أستطيع أن أفقد ما يكفي من الدم في دورتي الشهرية التي أموت فيها لاف   اذهب لرؤية الطبيب ,Potential Suicide post 
            ,Potential Suicide post 
                       ,Not Suicide post
                           ,Potential Suicide post 
                   ,Potential Suicide post 
        ,Not Suicide post
                        ,Potential Suicide post 
  أنا أكره أن أكره عائلتي بأكملها كل ما يفعلونه هو جعلني أشعر بالدهون وإنهاء ذلك مع الشعور بالسوء تجاه جسدي وتوافقه,Potential Suicide post 
              ,Not Suicide post
 لماذا قامت بهواتياتي القذرة للغاية وصنعت مقاطع فيديو لي ولدي السابقين من التعرف على الوجه مع الخلفية ,Potential Suicide post 
           ,Not Suicide post
  معرف جيد ، يجب أن نلبس جميعًا مثل   والاستماع إلى   طوال الليل  شكرًا,Not Suicide post
       ,Not Suicide post
 الفقير لحسن الحظ لديك روح الدعابة,Not Suicide post
   تحقق من المصلين ,Not Suicide post
على وشك فتح هدايا عيد الميلاد,Not Suicide post
بعد النظر إلى إحصائيات الانتحار الأمريكية ، شعرت بالصدمة لرؤية أن الرجال البيض في  يقودون ,Potential Suicide post 
                  ,Not Suicide post
             ,Not Suicide post
                       ,Not Suicide post
  ,Potential Suicide post 
   ,Not Suicide post
          ,Not Suicide post
    ,Not Suicide post
                        ,Not Suicide post
               ,Not Suicide post
                      ,Potential Suicide post 
           ,Potential Suicide post 
                          ,Not Suicide post
       ,Not Suicide post
           ,Not Suicide post
        ,Not Suicide post
            ,Potential Suicide post 
         ,Not Suicide post
       ,Not Suicide post
                  ,Not Suicide post
          ,Not Suicide post
حان الوقت للطيران       في الوقت المناسب لليلة التاريخ,Not Suicide post
يقول للتو شاهد   ,Not Suicide post
    ,Not Suicide post
         ,Not Suicide post
                         ,Potential Suicide post 
     ,Not Suicide post
                  ,Not Suicide post
    ,Not Suicide post
                  ,Not Suicide post
  ,Not Suicide post
       ,Not Suicide post
 يأخذني إلى النهر من ,Not Suicide post
حتى لا أستطيع الركض إلى هذا الحد حتى الآن,Not Suicide post
          ,Not Suicide post
           ,Not Suicide post
أخبار مزيفة ذهبت للتو بالبالستية ، استعد ، فكرت في الأخبار المزيفة كانت سيئة للغاية ,Potential Suicide post 
                       ,Not Suicide post
       ,Not Suicide post
           ,Potential Suicide post 
           ,Potential Suicide post 
                 ,Potential Suicide post 
                                                                                                     ,Potential Suicide post 
                        ,Potential Suicide post 
                   ,Potential Suicide post 
       ,Not Suicide post
        ,Not Suicide post
اللعنة على الله أنا أحمق غبي يدعى الشخصية بدلاً من التخمين المريض الذي يحصل على توبيخ ثالث ,Potential Suicide post 
                        ,Not Suicide post
ولهذا السبب نحن في الفصول الدراسية نعمل معهم بشكل صحيح,Not Suicide post
                    ,Potential Suicide post 
   ,Not Suicide post
أنا أكره أنني لست بخير أنا أكره أنني أريد أن أقتل نفسي ، لكنني لا أرغب في ترك عائلتي,Potential Suicide post 
 إنه لأني أرغب في الانتحار لا أريد أن أكون هنا بعد الآن,Potential Suicide post 
العمة أعتقد أنني سأحاول صنع تلك الصحف هذا العام حصلت على الكثير من الأعشاب لتنمو,Not Suicide post
يوجد في القطار المزيد من التسوق,Not Suicide post
جوووووود,Not Suicide post
            ,Not Suicide post
غمرها واستمتع بها,Not Suicide post
   ,Not Suicide post
       ,Not Suicide post
    ,Not Suicide post
 ,Not Suicide post
            ,Potential Suicide post 
دانييل هيلتون أعلم أن هذا حقيقي لي في نوم    تحرير الفيديو ,Not Suicide post
لا يمكن العثور على أي كلمات لطيفة لمجال   ,Not Suicide post
        ,Potential Suicide post 
     ,Not Suicide post
                      ,Potential Suicide post 
خرجت للتو من الحمام لا شيء يقول يستيقظ مثل غسول الجسم في شعرك,Not Suicide post
 ما كان قناة ووقت السياسيين البروغ مع عدم وجود تدريب رسمي يستحم في البسيط   ,Not Suicide post
بعد أن أحصل على  في      أو  ,Not Suicide post
يقرأ من خلال بعض المقالات المثيرة للاهتمام على إكستورانت لدينا أشياء جيدة بشكل مدهش,Not Suicide post
           ,Not Suicide post
                 ,Not Suicide post
               ,Not Suicide post
 أنت أيضا,Not Suicide post
                         ,Potential Suicide post 
     ,Not Suicide post
   يمكن أن يكون هذا من فضلك انتهى مع أنا تعبت من كل شيء من  إلى صانع القهوة الخاص بي لديهم  ,Potential Suicide post 
  هي أنها سيئة كما سمعت,Not Suicide post
شخص ما فقط من فضلك قتلني قبل أن تصبح حياتي أكثر غباء,Potential Suicide post 
         ,Not Suicide post
يبدو أن تناول الكباب في الشمس يبدو وكأنه عنوان أغنية سيئ هكتار ذلك أيضًا,Not Suicide post
شكرًا  و  على مقابس ,Not Suicide post
لقد فقدت الكثير من الاهتمام في ناسكار ولا أعتقد أنني سأغرد من هنا كثيرًا بعد الآن إذا كنت لا تزال ترغب في أن تكون أصدقاء أو شيء يمكنك متابعة صفحة  الأقل شعبية ، يمكننا أن نكون أصدقاء هناك,Potential Suicide post 
          ,Potential Suicide post 
  ,Not Suicide post
لعب الكلارينيت يجعلني سعيدا,Not Suicide post
   ,Not Suicide post
   الذي يبقيك  آمن  حرة     ,Not Suicide post
                        ,Not Suicide post
  ,Not Suicide post
مايكل جاكسون هو وجود حزين لرجل قابلته بالفعل ألانيس ، لذا فإن الأمير هو أملي الأخير حافظ على الإيمان,Not Suicide post
       ,Not Suicide post
روبي روبي روبي روبي أخذ للتو تسليم للتو بداية كتاب روبي روبي ووب لغة أخرى   ,Not Suicide post
                  ,Not Suicide post
                 ,Not Suicide post
القمح الذي يتفاقم القمح والدكتور دكتور بيبر وجبة الإفطار من الأبطال للأشخاص الذين يستيقظون في وقت متأخر ويحصلون على أول شيء يمكنهم العثور عليه,Not Suicide post
كانت متعبة,Not Suicide post
  اختر وظيفة تحبه ولن تضطر أبدًا إلى العمل يومًا في حياتك في المستقبل السعيد طلابنا المذهلين,Not Suicide post
  أتمنى أن يكون لديك رفاق رحلة آمنة,Not Suicide post
أعتقد أنني سأعيد تجديد غرفة المعيشة الخاصة بي لكنني سئمت من تحريك الأشياء,Potential Suicide post 
,Not Suicide post
 هذا القرف أريد أن أكون ميتًا لذا لا يجب أن أكون هنا بعد الآن ,Potential Suicide post 
لقد قرأت عن مجموعة تدعى  في سويسرا ، وهي تقدم انتحارًا بمساعدة من خلال المخدرات التي يجب أن تصبح العضو الذي يجب أن تصبح عضوًا يديره أنفسهم أي شخص لديه أي نظرة ثاقبة على الأميركيين الذين يسافرون هناك لهذا الغرض ، على ما يبدو أنها ساعدت العديد من المواطنين البريطانيين والألمانية على سلام,Potential Suicide post 
  أو كل طفل كان لديه نوبة نوبة عمل اليوم لا أريد أن أكون هنا لا أريد أن أسمع بعد الآن البكاء أريد فقط العودة إلى المنزل والحيوانات الأليفة كلبي,Potential Suicide post 
صدمة الرعب من المسامير التورية السيئة السيئة وأعتقد أنني سأحب الأصوات الواضحة الجديدة على الرغم من ,Not Suicide post
 هذه الأشياء حرفيًا حدثًا يوميًا لعائلتي منذ أن جاء والداي إلى هذا البلد ، إنه ,Potential Suicide post 
تذكير تاريخ إصدار  المحدد لـ  ,Not Suicide post
  أنا سخيف جدا سئمت من العيش أنا لست ذكيا أنا لست رياضيا أنا لست جذابا أنا لست موهوبا أنا فقط لدي هذا سخيف ,Potential Suicide post 
عبد العمل ، أشعر حقًا أن غرضي الوحيد في الحياة هو جعل الرجل الأعلى من المال يضعني الآباء في الكلية ولدي الكثير على صفيتي ، فأنا مدين بالكثير من المال وأنا أعلم أن هذا هو الطريق السهل للخروج ولكني متعب حقًاكل هذه القضايا على رأس التعامل مع التوترات في أمريكا ، كما أريد الراحة,Potential Suicide post 
 بالطبع,Not Suicide post
لقد مر عام آخر ، وما زلت وحدي حزينًا وأعاني من أي وقت مضى سأعيش مع الكرامة أو  ,Potential Suicide post 
       ,Not Suicide post
ماذا الآن ، فأنا يعلم الجميع أنني أريد أن أقتل نفسي ، لكن لا أحد يعترف به حقًا كما لو أنني فعلت ذلك ، فسيكون ذلك أمرًا لا مفر منه ولن يعطي أحد القرف هذا صحيح وأمراض أن يكون مثل سنوات من الأفكار الانتحارية ولكنبمرور الوقت ، أصبحوا على وشك الاشمئزاز من أن يصبحوا حقيقة واقعة وأنا خائف من سخيف ، أريد فقط أن أموت ، ربما أعرف أنني سأفعل,Potential Suicide post 
بدأت أيضا مقدمة,Not Suicide post
حياتي ليس لدي أي غرض ، لقد كسرت وحيدًا وبائسة ، لذا فإن حياتي هي كيس من القرف من عائلتي تكرهني بشكل شرعي ، أنا فقيعقدًا عمومًا عمومًا ، أنا موافق على أن أكون عازبًا ، لكن الاكتئاب يطحن عالمي إلى توقف الأطباء ، لا يساعدني أحد من حولي ، يبدو أن هذا قد استمر لسنوات ، فأنا متعب ، لا يمكنني فعل ذلك بعد الآن أريد فقط الاستلقاء والموت بهدوءكل ما أريده في الحياة هو أن أختفي,Potential Suicide post 
لعبة فيليز مع بيكا الليلة,Not Suicide post
  أحبه,Not Suicide post
  ، لقد سئمت من العيش في بلد أصبح حول أخذ الجانبين العاهرة ، هل يمكننا جميعًا أن نحب ونحترم بعضنا البعض ,Potential Suicide post 
فالرفير أتمنى لك يومًا سعيدًا,Not Suicide post
مايلي سايروس أحب يسوع أيضًا وأستعد للمدرسة ,Not Suicide post
تحديث على هاتفي الحقيقي السريع كان في سيارتي كلها الوقت لعنة الله أنا حقا سخيف أكره نفسي ,Potential Suicide post 
   سعيد جدًا وأنا أحبه   ,Not Suicide post
أنت تأخذ وقتًا للتفكير في موعد ولكني أريد أن أخرجك غدًا للنظر في حلقات الخطبة,Not Suicide post
هل عثرت على نظارتها الشمسية شانيل,Not Suicide post
آدم ساندلر قبل أن يصبح القرف يتوقع حالتي العقلية المستقبلية,Potential Suicide post 
         ,Potential Suicide post 
لقد حصلت على صندوق بلدي سألتقطه غدًا بريسيلا جيلمور جيرلز,Not Suicide post
  توفي أخي بسبب الاكتئاب الذي مارسه أيضًا كان لديه أصدقاء داعمين كان ناجحًا في المدرسة أمب أنا,Not Suicide post
  فقط استمر في المضي قدمًا بغض النظر عن حياة النجاح التحفيزي,Not Suicide post
حياتي جيدة جدًا بالنسبة لي أن أشعر بالغضب والبؤس طوال الوقت,Potential Suicide post 
      ,Potential Suicide post 
 ولكن بلدي الإيطالي أساسي في الوقت الحالي,Not Suicide post
شعر شعر جديد ونظيف,Not Suicide post
يأتي  إلى الحياة حتى في شكل صورة  ، كل الأشياء الرائعة تبدأ مثل ذلك ,Not Suicide post
             ,Potential Suicide post 
نيكولاس بومباي اعتقدت أن هذا يعني أنك قدري سبب الاغنية ههههههههههههههههههههههههههههههههههههه,Not Suicide post
     ,Potential Suicide post 
                      ,Potential Suicide post 
شاهدت للتو مسابقة كريس مويلز من الليلة الماضية آلان كار مضحك للغاية هو الأفضل,Not Suicide post
                     ,Not Suicide post
          ,Not Suicide post
في نهاية اليوم ، أنا في هذه المرحلة من حياتي حيث لا أعطي حقًا اللعنة ، لذا إذا أعطيت اللعنة عليك,Potential Suicide post 
تشعر بأنك محظوظ للعمل مع    في  التي كرمتها  بموجب اليوم ,Not Suicide post
إن خسارة هؤلاء الرجال ضخمة لكنك يجب أن تتعامل معها الوقت لاستدعاء  للحصول على سعر   لأخذ بعض  ,Not Suicide post
أكره عندما أريد أن أكون ذاتيًا ، لكن عقلي يرفض السماح لي بالمعدين ، أريد فقط أن أشعر بالأسف على نفسي,Potential Suicide post 
أحب الطريقة التي يتلاشى بها  الموسيقى مرة أخرى عندما تنتهي مكالمة أنا أعجبت بسهولة,Not Suicide post
   تهانينا الهند على ضرب باكستان في كأس آسيا إندي,Not Suicide post
نيتشاري أخبرها سيمون  كان من   يقول مرحبا,Not Suicide post
  يجب أن تجعله موقعًا مناسبًا يومًا ما بمساعدة ,Not Suicide post
     ,Not Suicide post
بدأ صباحي سيئًا للغاية ، أريد فقط العودة إلى المنزل والنوم إلى الأبد,Potential Suicide post 
أعتقد أنه كان قلة قول أي شيء على الإطلاق كان غبيًا جدًا عندما قابلت هاري ، كنت أتصرف بارد و ,Potential Suicide post 
              ,Not Suicide post
مات ستيفنسلوب ، شكرًا يا مات ، أنا سعيد لأنك أعجبت به ، لا توجد عربات موسيقى خوارزمية مخطط لها حتى الآن,Not Suicide post
هكذا إذا كان الرجل الذي انتهى به الأمر في قضاء بقية أيامي معه ، فأنا أشعر أنني سأكره حياتي,Potential Suicide post 
                                                                                                           ,Potential Suicide post 
 فقط بعض مشاكل التسنين الخاصة بي أمبير الجديد سأكون أصدقاء,Not Suicide post
عملاق أساهي وخائف من فضلك لا تأكل أرواح مؤخرتي,Potential Suicide post 
                ,Potential Suicide post 
 أحب مقاطع الفيديو     ,Not Suicide post
   متوترة ، عندما أعرف عندما كنت  رأيت  مرة أخرى تلعب الأنسجة حتى كان  متعب,Not Suicide post
رائع ، لقد حصلت على المزيد من المتابعين المهتمين,Not Suicide post
  تهانينا فريق  شكرًا لناسا تقدير كبير ,Not Suicide post
تعبت من مجرد وجود يريد الوصول إلى العيش,Potential Suicide post 
أريد أن أقتل نفسي أنا سخيف جدا,Potential Suicide post 
كريستينامينديز قائمتي قصيرة ، فهذا يعني أن إلهي ضخمة للغاية لول,Not Suicide post
كانت هههه رحلة من كونشوردز فرحانًا دمويًا جدًا الليلة الماضية شور,Not Suicide post
 أنت أو الصورة  لعنة كلاهما تبدو جيدة جدا,Potential Suicide post 
 جيدًا ، هل يمكنك ربطني به على أي حال,Not Suicide post
                       ,Potential Suicide post 
أنقذ الجحيم اللعين برادا اليوم,Not Suicide post
أين بيض عيد الفصح,Not Suicide post
قصائد  التي تعاني من الكلبة السيئة نوعًا ما على استعداد للموت في أي يوم الآن,Potential Suicide post 
لقد سئمت من إلقاء اللوم على كل ما أنتظره في اليوم الذي أموت فيه اليوم,Potential Suicide post 
  إرسال الكثير من المشاعر الإيجابية في طريقك,Not Suicide post
                      ,Not Suicide post
